time,open,high,low,close
2025-10-15 00:00:00+00:00,1.16033,1.16039,1.16019,1.16036
2025-10-15 00:01:00+00:00,1.16036,1.1605,1.16032,1.16044
2025-10-15 00:02:00+00:00,1.16043,1.16052,1.1604,1.16052
2025-10-15 00:03:00+00:00,1.16052,1.16058,1.16048,1.16053
2025-10-15 00:04:00+00:00,1.16054,1.16062,1.16053,1.16054
2025-10-15 00:05:00+00:00,1.16056,1.1606,1.16054,1.16058
2025-10-15 00:06:00+00:00,1.16059,1.16062,1.16054,1.16058
2025-10-15 00:07:00+00:00,1.16059,1.16064,1.16058,1.16061
2025-10-15 00:08:00+00:00,1.1606,1.1607,1.16054,1.16069
2025-10-15 00:09:00+00:00,1.16068,1.16074,1.16056,1.16056
2025-10-15 00:10:00+00:00,1.16058,1.16066,1.16056,1.1606
2025-10-15 00:11:00+00:00,1.16061,1.16063,1.16053,1.16054
2025-10-15 00:12:00+00:00,1.16054,1.16055,1.16046,1.1605
2025-10-15 00:13:00+00:00,1.1605,1.16067,1.1605,1.16061
2025-10-15 00:14:00+00:00,1.1606,1.1607,1.16058,1.16068
2025-10-15 00:15:00+00:00,1.16068,1.1607,1.16062,1.16064
2025-10-15 00:16:00+00:00,1.16066,1.1607,1.16062,1.16062
2025-10-15 00:17:00+00:00,1.1606,1.16069,1.1606,1.16061
2025-10-15 00:18:00+00:00,1.16062,1.16068,1.16052,1.16064
2025-10-15 00:19:00+00:00,1.16064,1.16073,1.16058,1.1607
2025-10-15 00:20:00+00:00,1.1607,1.1608,1.1607,1.16075
2025-10-15 00:21:00+00:00,1.16076,1.16082,1.16074,1.16082
2025-10-15 00:22:00+00:00,1.16082,1.16082,1.16072,1.16074
2025-10-15 00:23:00+00:00,1.16072,1.16076,1.16071,1.16073
2025-10-15 00:24:00+00:00,1.16074,1.16081,1.16073,1.16079
2025-10-15 00:25:00+00:00,1.16078,1.161,1.16078,1.16088
2025-10-15 00:26:00+00:00,1.16089,1.16094,1.16087,1.16091
2025-10-15 00:27:00+00:00,1.16089,1.1609,1.1608,1.16083
2025-10-15 00:28:00+00:00,1.16082,1.16089,1.16078,1.16078
2025-10-15 00:29:00+00:00,1.16079,1.16086,1.16077,1.1608
